Rank,Site,Daily Time on Site,Daily Pageviews per Visitor,% of Traffic From Search,Total Sites Linking In,Perfomance,Data Transfer On Site Load
1,Google.com,14:11,15.63,0.40%,1,922,142,87,763 KB
5,Standardmedia.co.ke,4:45,2.00,25.50%,7,027,59,1,686 KB
4,Tuko.co.ke,6:55,2.38,33.80%,2,267,27,2,316 KB
2,Youtube.com,14:06,7.94,15.80%,1,479,058,0,3,626 KB
3,Nation.co.ke,5:30,2.52,26.90%,9,260,13,4,209 KB
